Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur. avvik fra normalen 1991-2020 (aar)
Bjornoya;SN99710;1922;-0.7
Bjornoya;SN99710;1923;-1.1
Bjornoya;SN99710;1924;-1.5
Bjornoya;SN99710;1925;-1.1
Bjornoya;SN99710;1926;-2.7
Bjornoya;SN99710;1927;-2.6
Bjornoya;SN99710;1928;-2
Bjornoya;SN99710;1929;-2.8
Bjornoya;SN99710;1930;-0.6
Bjornoya;SN99710;1931;-0.8
Bjornoya;SN99710;1932;-2.1
Bjornoya;SN99710;1933;-0.1
Bjornoya;SN99710;1934;0.1
Bjornoya;SN99710;1935;-1.1
Bjornoya;SN99710;1936;-1.2
Bjornoya;SN99710;1937;0.7
Bjornoya;SN99710;1938;0.7
Bjornoya;SN99710;1939;-0.6
Bjornoya;SN99710;1940;-2
Bjornoya;SN99710;1945;-1.1
Bjornoya;SN99710;1946;-0.9
Bjornoya;SN99710;1947;-2.3
Bjornoya;SN99710;1948;-2.4
Bjornoya;SN99710;1949;-0.9
Bjornoya;SN99710;1950;0.2
Bjornoya;SN99710;1951;-2.5
Bjornoya;SN99710;1952;-1.6
Bjornoya;SN99710;1953;-0.7
Bjornoya;SN99710;1954;0.7
Bjornoya;SN99710;1955;-1.7
Bjornoya;SN99710;1956;0.1
Bjornoya;SN99710;1957;-0.2
Bjornoya;SN99710;1958;-1.1
Bjornoya;SN99710;1959;-0.5
Bjornoya;SN99710;1960;-0.8
Bjornoya;SN99710;1961;-1.5
Bjornoya;SN99710;1962;-3.8
Bjornoya;SN99710;1963;-4.3
Bjornoya;SN99710;1964;-0.5
Bjornoya;SN99710;1965;-2.9
Bjornoya;SN99710;1966;-3.4
Bjornoya;SN99710;1967;-2.1
Bjornoya;SN99710;1968;-5
Bjornoya;SN99710;1969;-1.5
Bjornoya;SN99710;1970;-2.1
Bjornoya;SN99710;1971;-3.3
Bjornoya;SN99710;1972;0.6
Bjornoya;SN99710;1973;-1.3
Bjornoya;SN99710;1974;0.9
Bjornoya;SN99710;1975;-2.3
Bjornoya;SN99710;1976;-0.3
Bjornoya;SN99710;1977;-2.4
Bjornoya;SN99710;1978;-3.2
Bjornoya;SN99710;1979;-1.6
Bjornoya;SN99710;1980;-2.2
Bjornoya;SN99710;1981;-2.4
Bjornoya;SN99710;1982;-2.1
Bjornoya;SN99710;1983;-1.3
Bjornoya;SN99710;1984;0.4
Bjornoya;SN99710;1985;-1.4
Bjornoya;SN99710;1986;-1.3
Bjornoya;SN99710;1987;-2.3
Bjornoya;SN99710;1988;-3.4
Bjornoya;SN99710;1989;-1.7
Bjornoya;SN99710;1990;0.3
Bjornoya;SN99710;1991;-0.2
Bjornoya;SN99710;1992;-0.6
Bjornoya;SN99710;1993;-1.7
Bjornoya;SN99710;1994;-0.9
Bjornoya;SN99710;1995;-2
Bjornoya;SN99710;1996;-1.7
Bjornoya;SN99710;1997;-1.9
Bjornoya;SN99710;1998;-1.4
Bjornoya;SN99710;1999;0.5
Bjornoya;SN99710;2000;-0.1
Bjornoya;SN99710;2001;-0.8
Bjornoya;SN99710;2002;-0.2
Bjornoya;SN99710;2003;-1.8
Bjornoya;SN99710;2004;0.4
Bjornoya;SN99710;2005;0.6
Bjornoya;SN99710;2006;1.6
Bjornoya;SN99710;2007;0.8
Bjornoya;SN99710;2008;0.4
Bjornoya;SN99710;2009;0.2
Bjornoya;SN99710;2010;-0.1
Bjornoya;SN99710;2011;0.7
Bjornoya;SN99710;2012;1.1
Bjornoya;SN99710;2013;0.8
Bjornoya;SN99710;2014;0.9
Bjornoya;SN99710;2015;0.8
Bjornoya;SN99710;2016;2.2
Bjornoya;SN99710;2017;1.1
Bjornoya;SN99710;2018;1.4
Bjornoya;SN99710;2019;-0.1
Bjornoya;SN99710;2020;-0.2
Bjornoya;SN99710;2021;0.2
Bjornoya;SN99710;2022;0.7
Bjornoya;SN99710;2023;1
Bjornoya;SN99710;2024;1
